EGS,term,estimate,std.error,Chisq,Df,p.value
Richness,Max.Height,-31.033274739820357,14.80823655177139,2.132198284799161,4,0.7114594998743085
Richness,SLA,-8.146493319147162,3.6632779850824906,4.01511347883302,4,0.40396432686697337
Richness,SRL,-0.13094195692025026,0.0959364120121868,6.233430258853115,4,0.1823805970614803
Richness,RTD,-1.8021224309439035,0.8462897883285829,1.283532905762308,4,0.8641631601058257
Richness,Max.Height:SLA,0.2286468642833848,0.11158919012581586,0.9101341229082485,1,0.3400788344711227
Richness,Max.Height:SRL,0.003520967165787597,0.0031870924743651777,1.8276211557633786,1,0.17640878129118406
Richness,SLA:SRL,9.607914513228204e-4,7.328509794793249e-4,3.356544108769961,1,0.0669384056672333
Richness,Max.Height:RTD,0.05103004519685244,0.025834540997376382,0.026422486483348967,1,0.8708727962676965
Richness,SLA:RTD,0.013373326320032485,0.006403040054741223,0.2948167688681323,1,0.5871502374743368
Richness,SRL:RTD,2.1323740719299917e-4,1.7488091984049948e-4,0.1605239796859913,1,0.6886745590344441
Richness,Max.Height:SLA:SRL,-2.5828475923947754e-5,2.4341853021120505e-5,0.9562304787685113,1,0.32813843677318805
Richness,Max.Height:SLA:RTD,-3.7820136041366305e-4,1.963101825607651e-4,5.178718792867259,1,0.022865178062013717
Richness,Max.Height:SRL:RTD,-5.868344093334852e-6,5.78859675192249e-6,0.2700121587654095,1,0.603323616207704
Richness,SLA:SRL:RTD,-1.5798987998750976e-6,1.3404733121232347e-6,2.29425088371586,1,0.1298538479707326
Richness,Max.Height:SLA:SRL:RTD,4.347254940522293e-8,4.438464825897201e-8,0.959322552653895,1,0.3273576191914286
Productivity,Max.Height,-909.2573365904107,520.916969231923,9.666467000048016,4,0.04643684682927498
Productivity,SLA,-182.42679700477217,129.0867320035566,2.471811180235572,4,0.6496904512427106
Productivity,SRL,-5.308027529293485,3.38140189184687,17.11260793252501,4,0.0018379528130566909
Productivity,RTD,-43.43298511590973,29.839398791401855,13.89268901781454,4,0.007645542381643685
Productivity,Max.Height:SLA,6.621916779417878,3.9218405393224605,0.3513540298387334,1,0.5533476456386882
Productivity,Max.Height:SRL,0.20854186103176142,0.11216850335934862,0.1585504314378475,1,0.6904946205847461
Productivity,SLA:SRL,0.03756975036564185,0.025789365517539575,0.0010115888333402246,1,0.9746271729893279
Productivity,Max.Height:RTD,1.5543231855345954,0.9085030318277121,0.2779064407639424,1,0.5980767041845294
Productivity,SLA:RTD,0.314448785989391,0.22564620668465543,2.0859844619263246,1,0.14865636062442705
Productivity,SRL:RTD,0.009128327784565097,0.0061606482824643,0.9457637860296141,1,0.3307999382759387
Productivity,Max.Height:SLA:SRL,-0.0014918491755198055,8.550306027146187e-4,1.9892108609469425,1,0.15842341523654443
Productivity,Max.Height:SLA:RTD,-0.011247678355292405,0.006896266377107361,0.16857576095781138,1,0.6813806881138229
Productivity,Max.Height:SRL:RTD,-3.548803279037194e-4,2.0357213767164075e-4,3.0694146223455325,1,0.07977819406882888
Productivity,SLA:SRL:RTD,-6.43652347791947e-5,4.7145957381265414e-5,3.296410902673471,1,0.06943143475792697
Productivity,Max.Height:SLA:SRL:RTD,2.5358442753414497e-6,1.5578151515157443e-6,2.6498013283885293,1,0.10356283850618521
